@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC
@ATTRIBUTE "FileName" {augusta.wav,test.wav}
@DATA
3.163E2,5.908E-2,8.033E-4,4.729E4,4.471E-4,1.212E-1,?,8.04E2,?,?,?,-9.552E-1,3.811E-1,-1.225E-1,1.472E-1,7.148E-2,7.053E-2,3.714E-2,2.682E-2,4.969E-2,0E0,1.183E0,9.198E2,2.134E6,9.191E9,5.281E13,-5.808E2,1.048E2,-4.025E-1,-1.032E4,4.224E1,-1.703E1,2.099E6,1.016E1,-3.899E-2,-2.231E2,augusta.wav
5.979E2,7.166E-2,3.11E-2,3.229E4,1.992E-3,3.468E-1,?,1.428E3,?,?,?,-9.628E-1,7.607E-1,-2.077E-1,7.129E-2,1.754E-1,-4.22E-2,4.933E-2,6.239E-2,1.413E-1,0E0,4.79E0,1.354E3,2.176E6,7.146E9,3.951E13,-5.661E2,1.092E2,-7.6E-1,-1.124E4,8.141E1,-2.113E1,2.384E6,-3.51E2,2.442E0,-2.877E2,augusta.wav
7.149E2,1.415E-1,3.058E-2,2.049E4,1.761E-3,3.402E-1,?,9.82E2,?,?,?,-9.451E-1,7.063E-1,-1.6E-1,9.036E-2,3.81E-3,1.14E-1,8.945E-2,2.834E-2,6.517E-2,0E0,6.488E0,1.56E3,2.554E6,7.797E9,4.196E13,-5.543E2,1.138E2,-1.138E0,-1.222E4,1.257E2,-2.574E1,2.705E6,-8.557E2,8.559E0,-3.661E2,augusta.wav
6.111E2,1.357E-1,1.604E-2,4.954E4,1.474E-3,2.746E-1,?,1.229E3,?,?,?,-9.624E-1,8.753E-1,-3.311E-1,-6.389E-2,1.032E-1,-1.704E-1,2.684E-2,2.604E-1,1.976E-1,0E0,3.733E0,1.171E3,1.561E6,5.62E9,3.126E13,-5.563E2,1.184E2,-1.379E0,-1.326E4,1.58E2,-2.906E1,3.057E6,-1.244E3,1.45E1,-4.255E2,augusta.wav
4.994E2,7.666E-2,1.556E-2,4.467E4,7.89E-4,1.837E-1,?,8.83E2,?,?,?,-9.645E-1,8.432E-1,-2.867E-1,-7.733E-2,1.181E-1,-2.486E-1,-4.549E-2,2.497E-1,2.078E-1,0E0,2.384E0,1.007E3,1.538E6,5.913E9,3.343E13,-5.645E2,1.231E2,-1.567E0,-1.436E4,1.864E2,-3.161E1,3.444E6,-1.598E3,2.036E1,-4.73E2,augusta.wav
5.732E2,1.783E-1,3.62E-3,5.351E4,6.491E-4,1.916E-1,?,1.328E3,?,?,?,-9.452E-1,7.704E-1,-4.512E-1,-1.967E-1,1.931E-1,-1.148E-1,4.008E-2,3.511E-1,8.029E-2,0E0,2.281E0,1.362E3,2.182E6,6.963E9,4.068E13,-5.65E2,1.277E2,-1.791E0,-1.55E4,2.204E2,-3.467E1,3.861E6,-2.122E3,2.976E1,-5.329E2,augusta.wav
5.39E2,9.192E-2,2.174E-3,4.256E4,6.148E-4,1.398E-1,?,1.182E3,?,?,?,-9.616E-1,7.097E-1,-3.58E-1,-1.133E-1,2.406E-1,-1.567E-1,4.193E-2,2.981E-1,6.247E-2,0E0,2.247E0,1.336E3,2.231E6,7.291E9,4.223E13,-5.613E2,1.323E2,-1.922E0,-1.668E4,2.45E2,-3.684E1,4.309E6,-2.473E3,3.591E1,-5.77E2,augusta.wav
7.417E2,1.414E-1,3.084E-3,4.612E4,6.487E-4,1.482E-1,?,1.445E3,?,?,?,-9.449E-1,8.148E-1,-2.163E-1,-3.433E-3,1.825E-1,-1.255E-1,-1.743E-2,1.264E-1,4.189E-2,0E0,2.583E0,1.288E3,1.777E6,6.222E9,3.491E13,-5.56E2,1.37E2,-2.063E0,-1.788E4,2.724E2,-3.96E1,4.786E6,-2.773E3,4.177E1,-6.337E2,augusta.wav
6.256E2,1.591E-1,3.311E-3,4.216E4,4.792E-4,9.538E-2,?,1.225E3,?,?,?,-9.376E-1,6.224E-1,-4.296E-1,-2.277E-1,3.472E-1,-1.43E-1,1.728E-2,1.906E-1,9.938E-2,0E0,1.807E0,1.683E3,2.866E6,8.19E9,5.044E13,-5.529E2,1.414E2,-2.233E0,-1.911E4,3.051E2,-4.298E1,5.284E6,-3.028E3,4.78E1,-7.056E2,augusta.wav
3.21E2,5.896E-2,1.564E-3,4.969E4,1.575E-4,3.756E-2,?,7.28E2,?,?,?,-9.823E-1,4.295E-1,1.68E-1,1.683E-1,1.31E-1,1.349E-1,7.618E-2,5.874E-2,-6.791E-4,0E0,4.677E-1,1.315E3,3.391E6,1.249E10,7.077E13,-5.796E2,1.456E2,-2.413E0,-2.027E4,3.4E2,-4.654E1,5.776E6,-3.292E3,5.454E1,-7.833E2,augusta.wav
